pId;TemaId;TemaTitulo;Año;Pregunta;Correcta;Distractor1;Distractor2
1;1;Introducción;2015;Definimos las relaciones sintácticas como;Relaciones entre constructos teóricos;Relaciones entre conductas empíricas;Relaciones entre constructos teóricos y conductas empíricas
2;1;Introducción;2015;Si estoy interesado en tener una visión global y holística de la personalidad de un paciente debería utilizar;Un test proyectivo;Un test psicométrico;Un test de potencia
3;1;Introducción;2015;Cuando se calculan índices de acuerdo entre observadores en los test proyectivos solemos encontrar, respecto a los test psicométricos;Valores más bajos;Valores más altos;Valores iguales
4;1;Introducción;2015;Cuando calculo un índice de acuerdo entre observadores con un test proyectivo (pe. el test del árbol) estoy estimando;La fiabilidad de la prueba;La validez de la prueba;La relevancia de la prueba
5;1;Introducción;2015;Los test de ejecución típica se utilizan frecuentemente para medir;Personalidad;Inteligencia;Aptitudes
6;1;Introducción;2015;Un índice de dificultad de 0.95, en un test de ejecución típica nos indicaría;El grado de similaridad o comunalidad de esa respuesta en la muestra;El grado de dificultad del ítem para esa muestra;El grado de facilidad del ítem para esa muestra
7;1;Introducción;2015;En cuál de los siguientes test cabría esperar un menor cansancio de los sujetos al contestarlo;Un test de ejecución típica;Un test de ejecución máxima;Un test de Aptitudes numéricas
8;1;Introducción;2015;Utilizando un test objetivo (pe. el registro de la conductancia dérmica para medir la ansiedad) garantizamos;Una alta fiabilidad;Una alta validez;Tanto una alta fiabilidad como una alta validez
9;1;Introducción;2015;Ante la aplicación masiva de test en un proceso de selección para un puesto de trabajo, el tipo de test más recomendado utilizar sería;Un test de lápiz y papel;Un test manipulativo;Un test oral
10;1;Introducción;2015;La principal ventaja de un test computerizado sería;La posibilidad de que el test se adapte al sujeto;La fácil corrección del mismo;La posibilidad de omitir las instrucciones
11;1;Introducción;2015;En un test de velocidad, una persona con mayor inteligencia;Acierta mayor cantidad de preguntas;Acierta preguntas más difíciles;Tarda más tiempo en contestar las preguntas
12;1;Introducción;2015;En general una omisión en un test de velocidad puro indica;Que el sujeto no ha tenido tiempo de leer la pregunta;Que el sujeto no conoce la respuesta;Que el sujeto no está seguro de la respuesta correcta
13;1;Introducción;2015;En general una omisión en un test de potencia puro indica;Que el sujeto no conoce la respuesta;Que el sujeto no ha tenido tiempo de leer la pregunta;Que el sujeto prefiere no dar su opinión al respecto
14;1;Introducción;2015;Es posible obtener medidas libres de cultura si medimos rasgos de;No es posible medir un rasgo psicológico sin la interferencia de la cultura;Personalidad;Inteligencia
15;1;Introducción;2015;La teoría de la generalizabilidad pretende obtener mediciones generalizables a;Otras situaciones de medida;Otros test que midan el mismo rasgo;Otros rasgos psicológicos
16;1;Introducción;2015;La evolución temporal de la aplicación de los modelos psicométricos ha sido;TCT, TG, TRI;TRI, TCT, TG;TG, TRI, TCT
17;1;Introducción;2015;Un cambio en el escalamiento de un test;Cambia el orden de las puntuaciones de los sujetos;Cambia la fiabilidad (consistencia temporal) del test;Cambia la validez del test
18;1;Introducción;2015;La puntuación empírica de un sujeto en un test es el resultado de;El escalamiento;La fiabilidad;La validez
19;1;Introducción;2015;La relación entre la puntuación empírica y la verdadera viene modulado por;El correcto muestreo dentro del universo de preguntas;La correcta elección del universo de preguntas;La validez del test
20;1;Introducción;2015;La relación entre las puntuaciones empíricas y verdaderas viene determinada por;Las otras dos respuestas son correctas;La longitud del test;La variabilidad de la muestra
21;1;Introducción;2015;Un test con infinitas preguntas pertenecientes a un mismo universo de preguntas será siempre;Fiable;Válido;Tanto fiable como válido
22;1;Introducción;2015;En un test la relación entre la puntuación verdadera y el rasgo puede ser parcialmente comprobada utilizando;La técnica del análisis factorial;La correlación entre dos test paralelos;La técnica de máxima verosimilitud para la estimación de theta
23;1;Introducción;2015;Si un test presenta una fiabilidad perfecta;La validez podrá ser perfecta;La validez será nula;La validez será perfecta
24;1;Introducción;2015;Empíricamente, en un test con fiabilidad nula tendremos siempre;Una validez nula;Una validez perfecta;La validez podrá ser o no nula
25;1;Introducción;2015;La propiedad de la concatenación de la que habla Hölders en su Teoría Axiomática se cumple únicamente en las escalas;De razón;Nominales;De Intervalo
26;1;Introducción;2015;Si dos objetos físicos al unirlos, obtenemos una magnitud total diferente a la suma de las magnitudes individuales, entonces;Las otras dos respuestas son correctas;No cumplimos la propiedad de la concatenación;No estaremos en una escala de razón
27;1;Introducción;2015;En la Teoría Representacional de Stevens y Tarski lo importante es;Las otras dos respuestas son correctas;Las relaciones entre los objetos empíricos;La existencia de una regla que asigne números a los objetos empíricos
28;1;Introducción;2015;En una escala nominal, si medimos la altura a un grupo de personas, los valores obtenidos;Serán distintos si las alturas son distintas;Serán mayores cuanto más alta sea la persona;Serán menores cuanto más alta sea la persona
29;1;Introducción;2015;En una escala de intervalo decimos que una trasformación es homomórfica si;Las distancias entre los números se mantienen proporcionales;Los números son siempre los mismos;Las distancias de los números respecto al cero se mantienen constantes
30;1;Introducción;2015;Un transformación del cero nunca sería homomórfico en una escala;De razón;De Intervalo;Ordinal
31;1;Introducción;2015;El estadístico de tendencia central más adecuado para una escala Nominal sería;La moda;La mediana;La media
32;1;Introducción;2015;El objetivo de toda ciencia, y por tanto, también de la psicología es: describir, explicar y;Pronosticar;Interpretar;Justificar
33;1;Introducción;2015;Indique cuál de las siguientes áreas de la Psicología no es tratada por la psicometría;El estudio del cambio en los atributos;La construcción de técnicas estadísticas;El escalamiento psicológico
34;1;Introducción;2015;Para la psicometría la relación entre constructos teóricos y empíricos supone;Una relación semántica;Una relación sintáctica;Una relación biunívoca
35;1;Introducción;2015;Las relaciones semánticas entre conceptos teóricos y empíricos en psicometría se producen a través de;Los test psicométricos;Los análisis de datos;Las técnicas multivariadas
36;1;Introducción;2015;En general, cuando un instrumento de medida nos ofrece una visión global y cualitativa de la personalidad del sujeto estamos ante un test;Proyectivo;Psicométrico;De ejecución máxima
37;1;Introducción;2015;Las características principales de los test proyectivos son;Corrección cualitativa y visión global de la personalidad;Corrección cualitativa y baja validez;Corrección cuantitativa y alta validez
38;1;Introducción;2015;Los test proyectivos, respecto a los psicométricos;Tiene peor fiabilidad;Tienen peor fiabilidad y validez;Tienen peor validez
39;1;Introducción;2015;Un test cuyas preguntas son situaciones cotidianas de la vida, es un test de;Ejecución típica;Ejecución máxima;Ejecución mínima
40;1;Introducción;2015;Un test en el que el sujeto debe generar la respuesta realizando una tarea manual se dice que es un test;Manipulativo;Situacional;Oral
41;1;Introducción;2015;Un aparato que registre la sudoración del sujeto puede ser considerado como un instrumento de medida de tipo;Objetivo;Computerizado;Oral
42;1;Introducción;2015;La validez de un test viene determinada por la relación entre;El rasgo medido y la puntuación verdadera;La puntuación empírica y la verdadera;Las respuestas del sujeto y los errores cometidos
43;1;Introducción;2015;La fiabilidad de un test viene determinada por la relación entre;La puntuación empírica y la verdadera;El rasgo y la apuntación verdadera;La puntuación empírica y el rasgo que se desea medir
44;1;Introducción;2015;Si un test tiene una alta fiabilidad, entonces;Podrá tener o no una alta validez ;Tendrá una alta validez;No tendrá una alta validez
45;1;Introducción;2015;Si un test tiene una alta validez, entonces;Tendrá una alta fiabilidad;No tendrá una alta fiabilidad;Podrá tener o no una alta fiabilidad
46;1;Introducción;2015;Llamamos escalamiento a la relación entre;Las respuestas del sujeto y la puntuación empírica;La puntuación empírica y la verdadera;La puntuación verdadera y el rasgo
47;1;Introducción;2015;En general, en un test psicométrico resulta más relevante tener;Una alta validez;Una alta fiabilidad;Baja cantidad de errores de medida
48;1;Introducción;2015;La correcta relación entre el constructo teórico y las conductas observables garantiza que el test tendrá una alta;Validez;Fiabilidad;Consistencia interna
49;1;Introducción;2015;La falta de fiabilidad en un test viene determinada por;Un insuficiente muestreo de la población de conductas observables;Una mala elección de la regla semántica;Una mala relación entre el constructo teórico y las conductas empíricas
50;1;Introducción;2015;Si la unión de dos estímulos psicofísicos produce una sensación equivalente a la suma de las sensaciones individuales, entonces según la teoría axiomática de Hölders;La sensación es una magnitud ;La sensación no es una magnitud;La sensación no se puede medir
51;1;Introducción;2015;Hemos construido un test para medir la inteligencia, y no hay duda de que hemos elegido correctamente el tipo conductas a medir, sin embargo mi test sólo tiene cuatro items, entonces mi test;No será ni fiable ni válido;Será fiable pero no válido;Será válido pero no fiable
52;1;Introducción;2015;Si tenemos los números 0, 1, 2, 4. ¿Cuál de las siguientes transformaciones no sería válida en una escala de intervalo?;10, 12, 11, 14;0, 2, 4, 8;1, 3, 5, 9
53;1;Introducción;2015;La utilización de baremos es algo común en los test;Psicométricos;Proyectivos;De potencia
54;1;Introducción;2015;Tendremos una escala de medida cuando los números representen a los objetos empíricos de manera;Homomórfica;Homocedástica;Homogénea
55;1;Introducción;2015;Si tenemos los números 0, 1, 2, 4. ¿Cuál de las siguientes transformaciones sería válida en una escala ordinal?;10, 120, 1111, 1112;100, 99, 101, 97;0, 0, 2, 4
56;2;TCT;2015;En el modelo básico de la TCT (X=V+E) esos errores (E) representan;La diferencia para cada sujeto entre la puntuación obtenida y la que se debería haber obtenido ;El número de errores cometidos por el sujeto en el test;El número de errores cometidos por todos los sujetos en el test
57;2;TCT;2015;Si la puntuación empírica de un sujeto ha sido 20, entonces;La puntuación verdadera puede ser inferior o superior a 20;La puntuación verdadera debe ser inferior a 20;La puntuación verdadera debe ser superior a 20
58;2;TCT;2015;Si la puntuación error de un sujeto ha sido -5, entonces;La puntuación empírica debe ser inferior a la verdadera;La puntuación empírica puede ser inferior o superior a la verdadera;La puntuación empírica debe ser superior a la verdadera
59;2;TCT;2015;Cuando la puntuación error es negativa;Sobre-estimamos la verdadera puntuación del sujeto;Infra-estimamos la verdadera puntuación del sujeto;Obtenemos la verdadera puntuación del sujeto
60;2;TCT;2015;Según el supuesto de la TCT: E(E)=0, si le paso un test a un sujeto infinitas veces y calculo la media de las puntuaciones empíricas obtenidas;Esa media será su puntuación verdadera;Esa media estará contaminada por la media de los errores;Esa media será igual a la media empírica más una cantidad de error
61;2;TCT;2015;Según el supuesto de la TCT: E(E)=0, si le paso un test a una población de estudiantes y calculo la media de las puntuaciones empíricas obtenidas;Esa media será la verdadera inteligencia de los estudiantes;Esa media estará contaminada por la media de los errores de los estudiantes;Esa media será igual a la media empírica de los estudiantes más una cantidad de error
62;2;TCT;2015;Si en un test de inteligencia cometo menos error con los sujetos menos inteligentes y más error con los más inteligentes entonces;La correlación entre E y V es distinta de cero;La correlación entre E y V es igual a cero;La correlación entre E y V es 1
63;2;TCT;2015;Si aumento la varianza verdadera (manteniendo constante la varianza empírica) entonces la correlación al cuadrado entre X y E;Disminuirá;Aumentará;No cambiará
64;2;TCT;2015;Si tengo dos test de inteligencia X y X' y encuentro que la correlación respecto al rendimiento es mayor en el primer test que en el segundo entonces puedo concluir;X y X' no son paralelos;X y X' son paralelos;X y X' son fiables
65;2;TCT;2015;La proporción de varianza empírica que hay en la varianza verdadera;No tiene ningún sentido;Es la fiabilidad;Es uno menos la fiabilidad
66;2;TCT;2015;Si las desviaciones típicas de X y V son 6 y 10 respectivamente entonces la desviación típica de E es ;Según la TCT esos datos son imposibles;-8;-2
67;2;TCT;2015;Si las desviaciones típicas de X y V son 10 y 6 respectivamente entonces la desviación típica de E es ;8;4;No se puede conocer 
68;2;TCT;2015;La proporción de varianza verdadera que hay en la varianza empírica;Es la fiabilidad ;No tiene ningún sentido ;Es uno menos la fiabilidad 
69;2;TCT;2015;En un test cuya fiabilidad es cero, la varianza verdadera;Es cero;Es igual a la empírica;Es igual a la varianza error 
70;2;TCT;2015;Si la proporción de varianza error que hay en la varianza empírica es 0.4, ¿Cuánto es la fiabilidad del test?;0.6;0.4;0
71;2;TCT;2015;Si en un test mantenemos constante la varianza de las puntuaciones verdaderas pero disminuimos la varianza de los errores;Aumenta la fiabilidad;Aumenta la varianza de las empíricas;Aumenta la covarianza de las empíricas con las verdaderas
72;2;TCT;2015;Si paso 2 test paralelos a una misma persona entonces;En ambos test tendremos la misma puntuación verdadera ;En ambos test obtendremos la misma puntuación empírica;En ambos test cometeremos el mismo error
73;2;TCT;2015;Si paso 2 test paralelos a la misma persona y obtengo las siguientes puntuaciones (X=V+E), ¿Cuál de las siguientes opciones cumple los supuestos de paralelismo de la TCT?;X1: 11=7+4, X2: 20=7+13;X1: 11=7+4, X2: 11=9+2;X1: 11=7+4, X2: 20=19+1
74;2;TCT;2015;Tengo dos test paralelos, X1y X2, y hemos encontrado que la relación de X1 con la edad es de 0.9 ¿Cómo será la relación de X2 con la edad?;0.9;0.1;No se puede conocer
75;2;TCT;2015;Según los supuestos de la TCT, los errores que cometo en un test y los que cometo en un segundo test;No están relacionados;Están relacionados por la fiabilidad;Están relacionados por uno menos la fiabilidad
76;2;TCT;2015;Según los supuestos de la TCT los errores de medida cometidos en un test;Son siempre aleatorios;Son siempre sistemáticos;Pueden ser tanto aleatorios como sistemáticos
77;2;TCT;2015;Según la TCT al pasar un test a una muestra numerosa;La media empírica obtenida es la media verdadera;La puntuación empírica es la puntuación verdadera;La varianza empírica es la varianza verdadera
78;2;TCT;2015;Según los supuestos de la TCT , al pasar un test muchas veces a un sujeto;La media de los errores cometidos es cero;La varianza de los errores debe ser cero;La correlación entre las empíricas y las verdaderas debe ser cero
79;2;TCT;2015;Al pasar un test a un grupo numeroso de personas;Los errores de medida se anulan;Las puntuaciones empíricas se anulan;Las puntuaciones verdaderas se anulan
80;2;TCT;2015;Al aumentar la varianza verdadera, manteniendo constante la varianza empírica, necesariamente;Las otras dos respuestas son correctas;Disminuirá la varianza error;Aumentará la fiabilidad
81;2;TCT;2015;Si aumento la fiabilidad de un test, entonces la correlación entre los errores y las empíricas;Disminuirá;Aumentará;Permanecerá constante
82;2;TCT;2015;En dos test paralelos;Las otras dos respuestas son ciertas;Las medias de los errores deben ser iguales;Las varianzas de los errores deben ser iguales
83;2;TCT;2015;En dos test paralelos aplicados a un mismo sujeto;Las puntuaciones verdaderas deben ser iguales;Las puntuaciones error deben ser iguales;Las puntuaciones empíricas deben ser iguales
84;2;TCT;2015;Si la correlación entre las puntuaciones empíricas de dos test paralelos aumenta;La fiabilidad aumenta;La fiabilidad disminuye;La correlación entre los errores y las verdaderas será distinta de cero
85;2;TCT;2015;Llamamos índice de fiabilidad a;La raíz cuadrada del coeficiente de fiabilidad;El cuadrado del coeficiente de fiabilidad;La raíz cuadrada de la varianza error
86;2;TCT;2015;Llamamos coeficiente de fiabilidad a;Las otras dos respuestas son correctas;La correlación al cuadrado entre las empíricas y las verdaderas;El coeficiente de determinación entre las empíricas y las verdaderas
87;2;TCT;2015;Entre varios test paralelos las correlaciones serían;Iguales;Diferentes;Iguales a uno
88;2;TCT;2015;Si calculo la validez de criterio utilizando dos test paralelos encontraré;La misma validez de criterio;Diferente validez de criterio;Una alta validez de criterio al ser paralelos
89;2;TCT;2015;En dos test tau-equivalente;Las medias de los errores deben ser iguales e iguales a cero;Las otras dos respuestas son ciertas;Las varianzas de los errores deben ser iguales e iguales a cero
90;2;TCT;2015;En dos test tau-equivalentes;Las otras dos respuestas son correctas;Las varianzas verdaderas son iguales;Las medias empíricas son iguales
91;2;TCT;2015;En dos test tau-equivalentes aplicados a un mismo sujeto;Las puntuaciones verdaderas deben ser iguales;Las puntuaciones error deben ser iguales;Las puntuaciones empíricas deben ser iguales
92;2;TCT;2015;Entre varios test tau-equivalentes las correlaciones serían;Diferentes;Iguales;Iguales a uno
93;2;TCT;2015;Si calculo la validez de criterio utilizando dos test tau-equivalentes encontraré;Diferente validez de criterio;La misma validez de criterio;Una alta validez de criterio
94;3;Fiabilidad;2015;La inconsistencia temporal en las puntuaciones de los sujetos ante repetidas aplicaciones de un instrumento de medida puede venir dada por;La falta de fiabilidad del test;Cambios reales en los atributos de los sujetos;Errores sistemáticos
95;3;Fiabilidad;2015;La fiabilidad como consistencia interna puede ser estimada usando las técnicas;Alfa y dos mitades;KR-20 y test paralelos;Test-retest y KR-21
96;3;Fiabilidad;2015;La fiabilidad como consistencia temporal puede ser estimada usando las técnicas;Test paralelos y test-retest;Alfa y KR-20;Dos mitades y Alfa
97;3;Fiabilidad;2015;Si en un proceso de admisión fuese inadmisible aceptar a alguien que tuviese una puntuación inferior a un punto crítico determinado, deberíamos aceptar sujetos en cuyo Intervalo de Confianza para la puntuación verdadera;El límite inferior del IC fuese superior al punto crítico;El límite superior del IC fuese inferior al punto crítico;El límite inferior del IC fuese inferior al punto crítico
98;3;Fiabilidad;2015;El índice de fiabilidad representa;La relación lineal entre las empíricas y las verdaderas;La cantidad de varianza común entre las empíricas y verdaderas;La proporción de varianza verdadera explicada por la empírica
99;3;Fiabilidad;2015;El coeficiente de fiabilidad de un test representa;La cantidad de varianza común entre las empíricas y verdaderas;La relación lineal entre las empíricas y las verdaderas;La proporción de varianza verdadera no explicada por la empírica
100;3;Fiabilidad;2015;Si en test la proporción de varianza verdadera que hay en la empírica es 0.7, entonces el índice de fiabilidad es;0.83;0.7;0.3
101;3;Fiabilidad;2015;En un test, la proporción de varianza empírica que hay en la verdadera representa;Nada;La fiabilidad;Uno menos la fiabilidad
102;3;Fiabilidad;2015;Un coeficiente de fiabilidad de 1 indica que;Las otras dos respuestas son correctas;La varianza verdadera es igual a la empírica;La varianza error es cero
103;3;Fiabilidad;2015;En un test calculo la fiabilidad por el método de formas paralelas. Al calcularlo por el método de alfa y encontrar exactamente el mismo valor concluyo;Los ítems del test son paralelos;La fiabilidad es alta;Los ítems del test no son paralelos
104;3;Fiabilidad;2015;Si calculase KR-20 en un test de ítems dicotómicos encontraría;El mismo valor que con alfa;Un valor inferior a alfa;Un valor superior a alfa
105;3;Fiabilidad;2015;Si calculase KR-20 en un test de ítems continuos (no dicotómicos) el valor encontrado sería;Nada;La fiabilidad;El límite inferior de la fiabilidad
106;3;Fiabilidad;2015;Si el valor de la fiabilidad de un test calculada por alfa es 0.9, entonces la fiabilidad real de este test;Será igual o superior a 0.9;Será superior a 0.9;Será inferior a 0.9
107;3;Fiabilidad;2015;Con un test de velocidad pura, en el índice de Gulliksen la varianza de los fallos (o errores) será;Cero;Igual a la varianza de las incorrectas;Igual a la varianza de las omisiones
108;3;Fiabilidad;2015;Con un test de potencia pura, en el índice de Gulliksen la varianza de los fallos (o errores) será;Igual a la varianza de las incorrectas;Cero;Igual a la varianza de las omisiones
109;3;Fiabilidad;2015;Para aplicar con cierta confianza las fórmulas que relacionan la variabilidad y la fiabilidad necesito suponer que;Las otras dos alternativas son ciertas;La varianza error es la misma en los dos grupos;La media empírica es la misma en los dos grupos
110;3;Fiabilidad;2015;Un test aplicado a un grupo de niños de 8 años, respecto a un aplicado a un grupo con edades comprendidas entre los 6 y 10 años, presentará;Menor fiabilidad;Mayor fiabilidad;La misma fiabilidad
111;3;Fiabilidad;2015;Duplicar el número de ítems de un test tiene como consecuencia;Duplicar la media empírica;Duplicar la fiabilidad;Duplicar la varianza verdadera
112;3;Fiabilidad;2015;Si disminuyo la longitud de un test, entonces la constante K estará;Entre 0 y 1;Entre -infinito y 0;Entre 0 y +infinito
113;3;Fiabilidad;2015;La correlación de Pearson entre las puntuaciones empíricas dos mitades supuestamente paralelas de un test es siempre;Menor que la fiabilidad;Igual a la fiabilidad ;Mayor que la fiabilidad
